index,true,pred,pred_conf,margin,text
403,Relevant and Quality,Spam/Advertisement,0.43037179112434387,0.10670757293701172,friendly staff got our order done fast
74,Irrelevant Content,Spam/Advertisement,0.4170028567314148,0.21051359176635742,awesome barbor!!
43,Relevant and Quality,Rant/Complaint (without visit),0.41694632172584534,0.15035513043403625,"i only buy gas there usually.have cremes in season.offer take out meal for supper.have pizza,pasteries,sandwiches,subs,etc."
71,Relevant and Quality,Spam/Advertisement,0.4126487374305725,0.11665317416191101,superb food with a small town vibe!  excellent service. catch their once a month community dinner if you can. served family style and partial proeeds benefit a local nonprofit:  currently the first tuesday of the month.  monday night burger nights are also great value.
445,Relevant and Quality,Spam/Advertisement,0.41087231040000916,0.09547045826911926,buy remote car starter for my 2018 subaru impreza installed and ready to go in less than a day great pricing friendly staff clean establishment good parking
497,Irrelevant Content,Spam/Advertisement,0.41063371300697327,0.167819544672966,great!
0,Relevant and Quality,Rant/Complaint (without visit),0.40175917744636536,0.1495378315448761,pay for the atmosphere. decent food and drinks just a bit overpriced.
251,Irrelevant Content,Relevant and Quality,0.40107131004333496,0.12819740176200867,awesome munchies!
171,Irrelevant Content,Relevant and Quality,0.3970184028148651,0.1456334888935089,i̇ love this place. you can swim in the lake here
366,Relevant and Quality,Spam/Advertisement,0.3943230211734772,0.1236603856086731,"this family-run restaurant in middlebury is excellent. i love indian food, though it doesn't always love me back.  still,  it's worth the cost.  the food is delicious.  i personally love the chicken tikka masalla. my wife enjoys the saag. the bread is amazing!  be sure to save room for kir."
285,Relevant and Quality,Spam/Advertisement,0.3941957950592041,0.12938284873962402,awesome service. awesome food. awesome people
114,Relevant and Quality,Spam/Advertisement,0.3908524513244629,0.031798332929611206,"if you're thinking of affordable places to grab a bite in the brattleboro area, you have to be thinking vermont country deli. there are countless options of all different sorts of foods regardless of dietary restrictions and an extremely helpful, hardworking staff."
345,Relevant and Quality,Spam/Advertisement,0.390206903219223,0.06284946203231812,always good food and pleasant environment.
380,Relevant and Quality,Spam/Advertisement,0.390154093503952,0.14321258664131165,great food and service.
167,Relevant and Quality,Spam/Advertisement,0.38935744762420654,0.10148444771766663,"i love chocolate!!! don't really need any other reason, but prices are fair, product is always fresh, its made right there, the staff are always friendly, helpful - especially mr. p."
286,Relevant and Quality,Spam/Advertisement,0.389251172542572,0.15695860981941223,we celebrated our end of busy season and ended up here. the benefits of being outside were great after spending a majority of 6 straight months behind a computer screen. the place was packed and the people were great. i would suggest a few more shady spots for people to get out of the heat but it is exactly what our group was looking for.
50,Spam/Advertisement,Relevant and Quality,0.3892010450363159,0.07684507966041565,great deals on summer discounted products!!!
1,Relevant and Quality,Spam/Advertisement,0.3890059292316437,0.11036452651023865,"great selections, great prices, excellent.customer service"
60,Irrelevant Content,Spam/Advertisement,0.3880229890346527,0.09064626693725586,very good hours
396,Relevant and Quality,Spam/Advertisement,0.3871760070323944,0.09887444972991943,staff was excellent great service
212,Relevant and Quality,Irrelevant Content,0.3848940134048462,0.07310175895690918,"first time ever there.... it was a by luck stop.... very reseasonably priced.... a lot of unique items, hand made items.... will be back...."
128,Irrelevant Content,Spam/Advertisement,0.38452568650245667,0.14933516085147858,great trails!
386,Relevant and Quality,Spam/Advertisement,0.3842827379703522,0.1045091450214386,awesome place to throw some axes and friendly staff
2,Relevant and Quality,Spam/Advertisement,0.38193222880363464,0.09159544110298157,"quick service, great panera food as always"
144,Irrelevant Content,Spam/Advertisement,0.38077282905578613,0.06572860479354858,beautiful walk
135,Relevant and Quality,Rant/Complaint (without visit),0.3799586296081543,0.12381249666213989,huge selection of beer wine and spirits. if they don't have it it's doubtful someplace else would.
106,Irrelevant Content,Spam/Advertisement,0.37943458557128906,0.08236744999885559,great time
185,Relevant and Quality,Spam/Advertisement,0.3792378902435303,0.0606306791305542,awesome vermont country store with excellent food and wine selection!
56,Relevant and Quality,Spam/Advertisement,0.3778010308742523,0.025843322277069092,great customer service and they always have what i am looking for
331,Irrelevant Content,Relevant and Quality,0.37498506903648376,0.10225924849510193,so cute and really nice selection
42,Relevant and Quality,Spam/Advertisement,0.3746444284915924,0.08951461315155029,"good food, busy"
297,Relevant and Quality,Irrelevant Content,0.3732493221759796,0.10968935489654541,chili was awesome
132,Relevant and Quality,Spam/Advertisement,0.372816801071167,0.0945107638835907,"got take out. it was ready when they said it'd be, had to warm it up. very very tasty. wish they had a tip jar, because i felt weird just leaving money on the host stand out in the open.  they were fairly busy, which is a great thing to see. will be back."
7,Relevant and Quality,Spam/Advertisement,0.3726845681667328,0.08086928725242615,they have great dinner specials!
28,Relevant and Quality,Spam/Advertisement,0.3712860643863678,0.11282408237457275,"delicious pizza, perfect new york style. great atmosphere!"
201,Relevant and Quality,Spam/Advertisement,0.37104031443595886,0.04395076632499695,great ice cream and great people. it's my kinda place.
406,Relevant and Quality,Spam/Advertisement,0.3696272075176239,0.045738548040390015,awesome breakfast options and staff always greats you with a smile. food when is made quick and always delicious. this place is an absolute must if your heading though morristown
160,Relevant and Quality,Rant/Complaint (without visit),0.36910754442214966,0.12877045571804047,they are good but the wait is horrid there's no reason for them to so slow.
456,Relevant and Quality,Spam/Advertisement,0.3686877489089966,0.07877403497695923,"delicious variety, and friendly staff make for a wonderful dining experience"
137,Relevant and Quality,Spam/Advertisement,0.36852338910102844,0.0871354341506958,"first time there, great food and service. it's a 40 minute drive but i will definitely be back"
125,Relevant and Quality,Spam/Advertisement,0.368364542722702,0.07903653383255005,great movie viewing experience and very friendly staff. food is semi highly priced but over all great place
299,Relevant and Quality,Irrelevant Content,0.36792224645614624,0.10624092817306519,quick coffee and clean bathrooms.
377,Relevant and Quality,Spam/Advertisement,0.3675770163536072,0.14733080565929413,great service and efficient
207,Relevant and Quality,Rant/Complaint (without visit),0.3674430847167969,0.08121812343597412,"everything was awsome exept the price 120 a day, too much"
395,Irrelevant Content,Spam/Advertisement,0.36589735746383667,0.13359005749225616,nice place
242,Irrelevant Content,Spam/Advertisement,0.36589714884757996,0.13358978927135468,nice place
214,Relevant and Quality,Rant/Complaint (without visit),0.3645697236061096,0.047376781702041626,"the food was ok. my order was right. this doesn't always happen. they seem pretty short staffed, maybe a lot of turnover? nachos are great there. would recommend."
473,Relevant and Quality,Spam/Advertisement,0.363476425409317,0.12716135382652283,"the most awesome meals, a fine jukebox, and good peeps working here make this a wonderful experience for any meal of the day. i especially love the sizzling breakfasts and the amazing desserts!"
13,Relevant and Quality,Spam/Advertisement,0.36279061436653137,0.037456363439559937,the staff has always been friendly and helpful to me. i enjoyed going up there so much that i went to work for them.
322,Relevant and Quality,Spam/Advertisement,0.3621881306171417,0.07837042212486267,great service ...outstanding employees!!
141,Irrelevant Content,Relevant and Quality,0.3620632588863373,0.04618808627128601,always a nice cool breeze on top of mount mansfield
232,Relevant and Quality,Spam/Advertisement,0.36154791712760925,0.1040223240852356,"great service, great coffee"
348,Irrelevant Content,Spam/Advertisement,0.3612099289894104,0.021947413682937622,love it.great!
183,Irrelevant Content,Relevant and Quality,0.359722375869751,0.04537960886955261,who doesn't love a covered bridge!!!
156,Relevant and Quality,Spam/Advertisement,0.35950613021850586,0.017254292964935303,awesome food and great courteous bartender (jody). seafood grill was delicious but had to order some extra rice because i was too hungry 😊
302,Relevant and Quality,Rant/Complaint (without visit),0.3587973117828369,0.08906275033950806,never a bad meal and service is fast and friendly!
69,Irrelevant Content,Spam/Advertisement,0.3583778142929077,0.0038663148880004883,beautiful town. friendly people!
31,Relevant and Quality,Spam/Advertisement,0.3576236069202423,0.08381301164627075,"excellent help, very nice staff, and great inventory. also, the parking is most convenient. it was time to treat my feet to quality shoes... it's always fun to shop here!😁"
66,Relevant and Quality,Rant/Complaint (without visit),0.3573070764541626,0.07108426094055176,overpriced for the quality. at theses prices it should feel like fine dinning. the lobster was rubber due to over cooking what there was of it. all the rest was good including the service.
219,Irrelevant Content,Relevant and Quality,0.35694077610969543,0.08454501628875732,"lake is beautiful, nice camgrpund."
470,Irrelevant Content,Spam/Advertisement,0.35689613223075867,0.04609331488609314,nice store
448,Irrelevant Content,Spam/Advertisement,0.35689613223075867,0.04609331488609314,nice store
397,Relevant and Quality,Spam/Advertisement,0.35687652230262756,0.016632527112960815,"best place this side of the mississippi, and the grounds crew is simply amazing! ive never seen such well plowed, and maintained walkways. they are the true unsung heroes of the entire okemo organization and should be tipped immediately everytime you may be blessed to be in their presence..  they are absolutely perfect in every way!"
47,Relevant and Quality,Spam/Advertisement,0.35590940713882446,0.06287509202957153,best cider i've ever had and dog friendly patio!
81,Relevant and Quality,Spam/Advertisement,0.3557657301425934,0.0347268283367157,amazing food and people that work on the boat!
494,Relevant and Quality,Spam/Advertisement,0.3557453155517578,0.07415434718132019,"had a great time. good lobster,fish and chips,wings,chicken marsala, and steak salad. fantastic french onion soup."
419,Relevant and Quality,Spam/Advertisement,0.3555621802806854,0.022543996572494507,this is what a diner is all about! great comfort food with awesome service and a view!
202,Relevant and Quality,Irrelevant Content,0.3551888167858124,0.0902128517627716,good space but selection seem limited
266,Relevant and Quality,Irrelevant Content,0.352728933095932,0.10056489706039429,food was hot and fresh
291,Relevant and Quality,Irrelevant Content,0.3517884612083435,0.12663054466247559,long lines but pleasant staff today
30,Relevant and Quality,Spam/Advertisement,0.35104694962501526,0.037742823362350464,"fun, good food, milkshakes, big menu"
425,Relevant and Quality,Rant/Complaint (without visit),0.34994393587112427,0.062096357345581055,great food but really slow service
374,Relevant and Quality,Irrelevant Content,0.34922686219215393,0.08785590529441833,"joe, sales was a great help. we'll be back.

update 11/20/20 and 1/3/21.

i test drove several cars and found only one that was very interesting. it was a 2011 hyundai sonata limited 2.0 turbo. the salesman john balin helped us. i took the car for a pre-purchase mechanical inspection at essex automotive. they found it a very good car. upon my return from the inspection to the dealership my timing was unfortunate. i entered the parking lot and one of the employees backed into me and damaged the car. this did not dissuade me from purchasing the car so i went inside and made the deal. of course the dealership covered all cost and repairs for the damage to the car. they even provided me with a service rental car at no charge while the car was being inspected repaired and the body work completed.

one of the bad things about the deal was that the finance officer ended up not telling the truth about the warranty on the car. there was a warranty sticker on the window of the car when i drove it for the test drive. he insisted it was an as-is purchase and that the warranty sticker was a mistake. as a previous car salesman in california i knew this was not true. even though this was an outstanding dealership you need to be careful with any finance officer who will sell you anything for an outrageous profit. the extended warranty price was $1,600 on a car that was already covered.

subsequently to the purchase i had a opportunity to visit the sister store burlington hyundai and they took care of me service wise. this is where i found out there was a lifetime warranty on the engine and the drivetrain.

i put the car through its paces and found that everything on the car was working and was very pleased with the quality and power of the car.

on january 3rd 2021, i was driving home from a day trip and while driving through a blinding snow storm i had a dangerous situation. the snow plow ahead of me drifted from the left lane over to the right lane without warning. i braked heavily and the abs brakes worked fantastically.  there was no slip or slide. the winter tires on the car worked great i was able to stop the car and avoid rear ending the plow truck within 25 yards, amazing."
22,Relevant and Quality,Spam/Advertisement,0.34822413325309753,0.02513265609741211,great bread and pastries plus soup
233,Irrelevant Content,Spam/Advertisement,0.3477652966976166,0.08855918049812317,great place....
248,Relevant and Quality,Spam/Advertisement,0.3466867208480835,0.03580722212791443,"excellent shawarma.. what a relief to have them here in vermont...
one must try the shawarma and the baklava."
97,Relevant and Quality,Spam/Advertisement,0.34615299105644226,0.08268311619758606,"food was good, enjoyed the beer selection, atmosphere was warning. can get busy."
363,Irrelevant Content,Spam/Advertisement,0.3458366394042969,0.046724945306777954,amazing!
458,Relevant and Quality,Spam/Advertisement,0.3455372750759125,0.04495096206665039,always find what i need at good prices and friendly faces.
416,Irrelevant Content,Spam/Advertisement,0.34541335701942444,0.012630999088287354,nice
449,Relevant and Quality,Rant/Complaint (without visit),0.34509459137916565,0.08993306756019592,good but slow. worth the wait.
453,Irrelevant Content,Spam/Advertisement,0.34431764483451843,0.05425137281417847,good so far.
405,Relevant and Quality,Rant/Complaint (without visit),0.3441891074180603,0.011606335639953613,"they have world cup ski racing on their tv's, glad to see a bar that's in support of it"
415,Relevant and Quality,Spam/Advertisement,0.34395352005958557,0.022919446229934692,"great service, good pizza.  very expensive."
